,time,value
380,1934.58333333333,0.99833
381,1934.66666666667,2.19478
382,1934.75,2.68711
383,1934.83333333333,3.02311
384,1934.91666666667,2.54667
385,1935,1.41578
386,1935.08333333333,0.84567
387,1935.16666666667,0.72089
388,1935.25,0.43456
389,1935.33333333333,0.00633
390,1935.41666666667,0.09167
391,1935.5,-0.09711
392,1935.58333333333,-0.24167
393,1935.66666666667,-0.18522
394,1935.75,-0.77289
395,1935.83333333333,-1.82689
396,1935.91666666667,-0.48333
397,1936,-0.54422
398,1936.08333333333,-0.06433
399,1936.16666666667,-0.25911
400,1936.25,-0.19544
